"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Ukraine","2015","Total","Total","Data tabulated by year of registration","Provisional figure","2016","311049","1"
"Ukraine","2015","Total","January","Data tabulated by year of registration","Provisional figure","2015","34981","1"
"Ukraine","2015","Total","February","Data tabulated by year of registration","Provisional figure","2015","32492","1"
"Ukraine","2015","Total","March","Data tabulated by year of registration","Provisional figure","2015","33261","1"
"Ukraine","2015","Total","April","Data tabulated by year of registration","Provisional figure","2015","33829","1"
"Ukraine","2015","Total","May","Data tabulated by year of registration","Provisional figure","2015","31539","1"
"Ukraine","2015","Total","June","Data tabulated by year of registration","Provisional figure","2015","32185","1"
"Ukraine","2015","Total","July","Data tabulated by year of registration","Provisional figure","2015","40816","1"
"Ukraine","2015","Total","August","Data tabulated by year of registration","Provisional figure","2015","34781","1"
"Ukraine","2015","Total","September","Data tabulated by year of registration","Provisional figure","2015","37891","1"
"Ukraine","2015","Total","October","Data tabulated by year of registration","Provisional figure","2015","36310","1"
"Ukraine","2015","Total","November","Data tabulated by year of registration","Provisional figure","2016","30141","1"
"Ukraine","2015","Total","December","Data tabulated by year of registration","Provisional figure","2016","33557","1"
"Ukraine","2014","Total","Total","Data tabulated by year of registration","Final figure, complete","2016","465882","1,2"
"Ukraine","2014","Total","January","Data tabulated by year of registration","Final figure, complete","2016","39149","1,2"
"Ukraine","2014","Total","February","Data tabulated by year of registration","Final figure, complete","2016","38231","1,2"
"Ukraine","2014","Total","March","Data tabulated by year of registration","Final figure, complete","2016","36686","1,2"
"Ukraine","2014","Total","April","Data tabulated by year of registration","Final figure, complete","2016","38714","1,2"
"Ukraine","2014","Total","May","Data tabulated by year of registration","Final figure, complete","2016","39631","1,2"
"Ukraine","2014","Total","June","Data tabulated by year of registration","Final figure, complete","2016","37014","1,2"
"Ukraine","2014","Total","July","Data tabulated by year of registration","Final figure, complete","2016","43714","1,2"
"Ukraine","2014","Total","August","Data tabulated by year of registration","Final figure, complete","2016","39125","1,2"
"Ukraine","2014","Total","September","Data tabulated by year of registration","Final figure, complete","2016","40944","1,2"
"Ukraine","2014","Total","October","Data tabulated by year of registration","Final figure, complete","2016","42805","1,2"
"Ukraine","2014","Total","November","Data tabulated by year of registration","Final figure, complete","2016","33900","1,2"
"Ukraine","2014","Total","December","Data tabulated by year of registration","Final figure, complete","2016","35969","1,2"
"Ukraine","2013","Total","Total","Data tabulated by year of registration","Final figure, complete","2015","503657","2"
"Ukraine","2013","Total","January","Data tabulated by year of registration","Final figure, complete","2015","43290","2"
"Ukraine","2013","Total","February","Data tabulated by year of registration","Final figure, complete","2015","37419","2"
"Ukraine","2013","Total","March","Data tabulated by year of registration","Final figure, complete","2015","38003","2"
"Ukraine","2013","Total","April","Data tabulated by year of registration","Final figure, complete","2015","39086","2"
"Ukraine","2013","Total","May","Data tabulated by year of registration","Final figure, complete","2015","39626","2"
"Ukraine","2013","Total","June","Data tabulated by year of registration","Final figure, complete","2015","36730","2"
"Ukraine","2013","Total","July","Data tabulated by year of registration","Final figure, complete","2015","49668","2"
"Ukraine","2013","Total","August","Data tabulated by year of registration","Final figure, complete","2015","46042","2"
"Ukraine","2013","Total","September","Data tabulated by year of registration","Final figure, complete","2015","42924","2"
"Ukraine","2013","Total","October","Data tabulated by year of registration","Final figure, complete","2015","49519","2"
"Ukraine","2013","Total","November","Data tabulated by year of registration","Final figure, complete","2015","41284","2"
"Ukraine","2013","Total","December","Data tabulated by year of registration","Final figure, complete","2015","40066","2"
"Ukraine","2012","Total","Total","Data tabulated by year of registration","Final figure, complete","2013","520705","2"
"Ukraine","2012","Total","January","Data tabulated by year of registration","Final figure, complete","2013","41317","2"
"Ukraine","2012","Total","February","Data tabulated by year of registration","Final figure, complete","2013","42930","2"
"Ukraine","2012","Total","March","Data tabulated by year of registration","Final figure, complete","2013","41616","2"
"Ukraine","2012","Total","April","Data tabulated by year of registration","Final figure, complete","2013","38401","2"
"Ukraine","2012","Total","May","Data tabulated by year of registration","Final figure, complete","2013","44017","2"
"Ukraine","2012","Total","June","Data tabulated by year of registration","Final figure, complete","2013","40240","2"
"Ukraine","2012","Total","July","Data tabulated by year of registration","Final figure, complete","2013","49810","2"
"Ukraine","2012","Total","August","Data tabulated by year of registration","Final figure, complete","2013","48596","2"
"Ukraine","2012","Total","September","Data tabulated by year of registration","Final figure, complete","2013","43470","2"
"Ukraine","2012","Total","October","Data tabulated by year of registration","Final figure, complete","2013","48231","2"
"Ukraine","2012","Total","November","Data tabulated by year of registration","Final figure, complete","2013","43010","2"
"Ukraine","2012","Total","December","Data tabulated by year of registration","Final figure, complete","2013","39067","2"
"Ukraine","2012","Total","Unknown","Data tabulated by year of registration","Final figure, complete","2013","0","2"
"Ukraine","2011","Total","Total","Data tabulated by year of registration","Final figure, complete","2012","502595","2"
"Ukraine","2011","Total","January","Data tabulated by year of registration","Final figure, complete","2012","41078","2"
"Ukraine","2011","Total","February","Data tabulated by year of registration","Final figure, complete","2012","38904","2"
"Ukraine","2011","Total","March","Data tabulated by year of registration","Final figure, complete","2012","41338","2"
"Ukraine","2011","Total","April","Data tabulated by year of registration","Final figure, complete","2012","35880","2"
"Ukraine","2011","Total","May","Data tabulated by year of registration","Final figure, complete","2012","37159","2"
"Ukraine","2011","Total","June","Data tabulated by year of registration","Final figure, complete","2012","37835","2"
"Ukraine","2011","Total","July","Data tabulated by year of registration","Final figure, complete","2012","47065","2"
"Ukraine","2011","Total","August","Data tabulated by year of registration","Final figure, complete","2012","48136","2"
"Ukraine","2011","Total","September","Data tabulated by year of registration","Final figure, complete","2012","45425","2"
"Ukraine","2011","Total","October","Data tabulated by year of registration","Final figure, complete","2012","43345","2"
"Ukraine","2011","Total","November","Data tabulated by year of registration","Final figure, complete","2012","44347","2"
"Ukraine","2011","Total","December","Data tabulated by year of registration","Final figure, complete","2012","42083","2"
"Ukraine","2011","Total","Unknown","Data tabulated by year of registration","Final figure, complete","2012","0","2"
"Ukraine","2010","Total","Total","Data tabulated by year of registration","Final figure, complete","2010","497689","2"
"Ukraine","2010","Total","January","Data tabulated by year of registration","Final figure, complete","2010","39253","2"
"Ukraine","2010","Total","February","Data tabulated by year of registration","Final figure, complete","2010","39738","2"
"Ukraine","2010","Total","March","Data tabulated by year of registration","Final figure, complete","2010","41893","2"
"Ukraine","2010","Total","April","Data tabulated by year of registration","Final figure, complete","2010","39217","2"
"Ukraine","2010","Total","May","Data tabulated by year of registration","Final figure, complete","2010","37411","2"
"Ukraine","2010","Total","June","Data tabulated by year of registration","Final figure, complete","2010","42842","2"
"Ukraine","2010","Total","July","Data tabulated by year of registration","Final figure, complete","2010","46828","2"
"Ukraine","2010","Total","August","Data tabulated by year of registration","Final figure, complete","2010","42836","2"
"Ukraine","2010","Total","September","Data tabulated by year of registration","Final figure, complete","2010","43581","2"
"Ukraine","2010","Total","October","Data tabulated by year of registration","Final figure, complete","2010","42304","2"
"Ukraine","2010","Total","November","Data tabulated by year of registration","Final figure, complete","2010","40981","2"
"Ukraine","2010","Total","December","Data tabulated by year of registration","Final figure, complete","2010","40805","2"
"Ukraine","2010","Total","Unknown","Data tabulated by year of registration","Final figure, complete","2010","0","2"
